model,model_key,provider,n,exact_n,exact_match_pct,mean_tanimoto,mean_pre_submit_tool_calls,mean_spent_cost,mean_l1,mean_l2,mean_l3,low_tool_n,low_tool_rate_pct
Claude Opus 4.6,claude-opus-4-6,Anthropic,18,12,66.7,0.797,8,11.1,0.74,0.639,0.754,0,0.0
Claude Opus 4.7,claude-opus-4-7,Anthropic,18,14,77.8,0.895,4.4,5.9,0.531,0.598,0.39,0,0.0
Claude Sonnet 4.6,claude-sonnet-4-6,Anthropic,18,11,61.1,0.724,11.1,18.4,0.745,0.677,0.707,0,0.0
DeepSeek V3,deepseek-v3,DeepSeek,18,5,27.8,0.472,7.2,11.6,0.635,0.556,0.561,0,0.0
DeepSeek V4 Pro,deepseek-v4-pro,DeepSeek,18,11,61.1,0.752,12.7,19.6,0.744,0.632,0.604,0,0.0
Doubao Seed 2.0 Lite,bytedance-seed-2.0-lite,ByteDance,18,13,72.2,0.832,6.7,8.0,0.645,0.6,0.725,0,0.0
Gemini 3.1 Pro,gemini-3.1-pro-preview,Google,18,15,83.3,0.905,9.6,15.3,0.754,0.643,0.687,0,0.0
GPT-5.2,gpt-5.2,OpenAI,18,3,16.7,0.353,9,12.8,0.651,0.59,0.663,1,5.6
GPT-5.4,gpt-5.4,OpenAI,18,6,33.3,0.5,10.6,16.4,0.756,0.654,0.658,0,0.0
GPT-5.5,gpt-5.5,OpenAI,18,15,83.3,0.959,10.3,13.8,0.821,0.6,0.799,0,0.0
o4-mini,o4-mini,OpenAI,18,8,44.4,0.645,4.3,5.7,0.37,0.536,0.463,4,22.2
Qwen3.5 Flash,qwen3.5-flash-02-23,Alibaba Cloud,18,6,33.3,0.401,12,21.8,0.603,0.637,0.552,0,0.0
Qwen3.5 Plus,qwen3.5-plus-20260420,Alibaba Cloud,18,7,38.9,0.526,13.7,20.7,0.901,0.667,0.756,0,0.0
