name,smiles,peaks,solvent,freq,source
nmrshiftdb_2284,COc1cc(C=CC(=O)OCC(C#N)=CCOC2OC(CO)C(O)C(O)C2O)ccc1O,"168.46,151.31,149.83,149.43,148.34,127.96,124.81,116.93,116.59,114.81,113.35,112.27,104.74,78.48,78.41,75.36,71.86,68.62,64.76,63.00,56.91",Methanol-d4,75.0,nmrshiftdb2:2284
nmrshiftdb_2477,CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O,"206.51,170.18,166.78,150.22,136.59,127.58,126.36,120.88,79.31,49.85,41.66,24.19,23.01,20.86,20.72",Methanol-d4,60.0,nmrshiftdb2:2477
nmrshiftdb_2337,C=C1C(C)CCC2(C)C1CC=C1C(=O)OCC12O,"169.60,152.20,139.80,129.90,105.70,76.90,75.00,40.60,39.90,38.50,32.40,31.70,27.30,18.50,15.90",Chloroform-d,50.0,nmrshiftdb2:2337
nmrshiftdb_2492,CCCCCCCCCC=CC(=O)CCc1c(O)c(C=O)c2c(c1O)C(=O)OC2O,"199.20,192.60,166.40,165.70,159.70,152.50,147.90,129.90,116.90,109.40,106.10,95.90,37.60,31.70,31.20,28.80,28.70,28.60,28.50,27.50,22.00,16.80,13.80",DMSO-d6,100.6,nmrshiftdb2:2492
nmrshiftdb_2348,CC(=O)OC1=CC(COC(=O)c2ccccc2)OC(=O)C=C1,"169.70,168.40,165.90,150.70,143.30,133.20,129.60,129.50,128.40,121.50,108.80,67.20,64.60,20.80",Chloroform-d,50.0,nmrshiftdb2:2348
nmrshiftdb_2372,CC1=CC(O)C(O)C2(C)C1CC(=O)C1(C)C3C(=O)OC(C3C)C(O)C12,"207.50,176.90,133.70,126.80,84.20,82.40,74.20,70.20,53.80,51.80,49.90,49.20,44.20,37.00,32.80,24.10,20.40,16.80,11.60",Pyridin-D5 (C5D5N),125.0,nmrshiftdb2:2372
nmrshiftdb_2205,COC(=O)C1=C(C)NC(Cl)=C(C=O)C1c1ccc(C(=O)O)cc1,"186.50,167.90,166.50,148.50,145.80,142.90,132.70,128.90,127.00,110.70,104.10,51.20,37.70,17.80",DMSO-d6,75.0,nmrshiftdb2:2205
nmrshiftdb_2189,CN1C(C)(C)C=[N+]([O-])C1(C)C,"132.10,90.00,60.50,26.10,23.50,23.30",Acetone-D6 ((CD3)2CO),50.328,nmrshiftdb2:2189
nmrshiftdb_2282,CC(C)=CCCC(C)=CCC1=C(O)C(=O)C(O)=C(CC=C(C)C)C1=O,"185.83,177.42,153.06,152.98,138.38,134.06,131.74,124.78,121.56,120.95,120.19,119.65,35.94,24.04,21.41,20.34,20.18,20.07,19.79,19.47,18.24",Chloroform-d,100.0,nmrshiftdb2:2282
nmrshiftdb_2256,O=S1(=O)C2=C(CCCC2)C(O)N1c1ccccc1,"144.50,137.20,134.50,130.40,123.00,122.30,83.10,23.80,22.40,22.10,19.30",Acetone-D6 ((CD3)2CO),100.0,nmrshiftdb2:2256
nmrshiftdb_2394,CC1(O)CCC(=O)C2(C)CCC(O)(C(C)(C)O)C(=O)C12,"216.40,213.00,79.80,74.90,69.80,58.10,52.60,39.50,33.80,29.30,29.10,29.00,25.10,24.00,19.20",Chloroform-d,75.47,nmrshiftdb2:2394
nmrshiftdb_2456,CC1COc2c1cc1c(c2O)C23CCCC(C)(C)C2CC1OC3=O,"175.90,147.70,138.20,133.50,130.60,123.70,110.10,79.60,77.60,48.80,45.30,41.00,37.30,34.40,31.70,29.70,28.90,19.70,19.00,18.80",Chloroform-d,75.0,nmrshiftdb2:2456
nmrshiftdb_2381,CCCCC1=CC(=O)C(CC(=O)O)O1,"206.40,195.80,171.60,102.70,82.40,36.90,31.30,29.20,23.20,14.00",Methanol-d4,125.0,nmrshiftdb2:2381
nmrshiftdb_2301,CC1C(=O)OC2C1CCC1=CCCC(C)C12C,"179.41,139.91,123.93,86.27,43.78,42.30,41.47,36.46,29.10,28.03,25.94,25.59,17.44,15.39,13.50",Chloroform-d,100.0,nmrshiftdb2:2301
nmrshiftdb_2429,CC1(Cl)CCC2(CC1Br)C1(C)CCC(O1)C2(C)C,"89.40,85.90,71.30,62.00,49.90,48.40,40.50,39.13,30.76,27.50,25.76,23.60,23.30,22.48,21.05",Chloroform-d,125.0,nmrshiftdb2:2429
nmrshiftdb_2447,CC(=O)C1=CCC2C3(C)CCC4C(C)(C)CCCC4(CO)C3CC3OC(=O)C1C32C,"197.90,173.40,140.80,136.70,89.90,62.80,61.40,57.70,55.50,50.90,43.50,43.30,41.70,38.30,35.10,34.00,33.30,27.50,24.60,24.40,21.90,18.50,17.60,16.40,13.70",Chloroform-d,125.0,nmrshiftdb2:2447
nmrshiftdb_2257,O=C1C2=C(CCCC2)S(=O)(=O)N1c1c(Cl)cccc1Cl,"160.40,149.30,138.60,137.00,134.00,131.50,130.80,21.80,21.50,21.40,20.10",Acetone-D6 ((CD3)2CO),100.0,nmrshiftdb2:2257
nmrshiftdb_2383,CC1(C)CCC(O)C2(C)C1CCC13CC(C)(CCC12)C(CO)O3,"84.60,82.70,80.00,63.80,55.00,54.10,51.80,42.60,40.40,39.30,39.10,38.40,32.90,32.50,28.80,22.20,21.30,19.40,18.80,8.40",Chloroform-d,75.0,nmrshiftdb2:2383
nmrshiftdb_2238,O=C1C(O)=Cc2coc(=O)c3ccc(-c4ccccc4)c1c23,"179.20,160.60,152.00,150.10,148.80,142.10,134.60,134.10,129.10,128.60,128.40,125.10,120.60,112.80,107.70",Acetone-D6 ((CD3)2CO) 1:Unreported,125.0,nmrshiftdb2:2238
nmrshiftdb_2190,C=CC1(C)CC(O)C(OC(C)=O)(C(C)C)CC1C(=C)C,"163.76,150.15,147.31,110.62,97.90,90.29,69.75,46.45,44.24,41.83,38.73,38.56,27.95,27.34,20.09,19.00,18.80",Benzene-D6 (C6D6),125.77,nmrshiftdb2:2190
nmrshiftdb_2432,COc1cc(O)c(-c2c(CO)cc(O)c3c2C(=O)c2cccc(O)c2C3=O)c(O)c1C(C)=O,"203.65,194.17,182.76,164.09,163.91,162.74,162.46,161.81,156.62,138.18,135.70,132.52,126.04,124.09,121.15,120.10,116.46,115.91,106.18,91.88,61.92,56.10,33.19",Acetone-D6 ((CD3)2CO),150.0,nmrshiftdb2:2432
nmrshiftdb_2207,COC(=O)c1ccc(C2C(C#N)=C(N)NC3=C2C(=O)CC(C)(C)C3)cc1,"193.80,166.10,152.40,150.30,149.90,129.20,127.30,127.20,121.20,108.20,57.90,51.90,49.90,39.60,37.40,32.00,28.80,26.50",DMSO-d6,1.0,nmrshiftdb2:2207
nmrshiftdb_2254,COC1OC2CC3CCC4C(CCC5(C)C(C6=CC(=O)OC6)CCC45O)C31CC2O,"178.40,177.30,117.80,101.30,86.30,75.40,71.80,67.10,54.60,52.10,50.90,46.70,43.30,41.50,41.20,39.90,36.30,33.40,32.10,29.10,28.60,27.90,24.00,16.30",Methanol-d4,125.0,nmrshiftdb2:2254
nmrshiftdb_2378,O=C1C(OC2OC(CO)C(O)C(O)C2O)Oc2cc(Cl)ccc2N1O,"155.30,141.20,127.80,127.50,122.90,118.00,114.10,102.80,96.40,77.60,76.70,73.10,69.70,61.10",DMSO-d6,100.0,nmrshiftdb2:2378
nmrshiftdb_2476,CC1CCC2C1C1C(CCC2(C)O)C1(C)C,"74.60,58.20,39.70,38.40,37.80,32.10,29.10,28.70,28.60,25.80,22.30,18.80,18.40,16.30,16.10",Chloroform-d,75.0,nmrshiftdb2:2476
nmrshiftdb_2436,CC(=O)OC1C(C(C)(C)O)CCC2(C)C(=O)CCC(C)(O)C12,"214.40,172.60,71.60,70.30,69.90,55.00,52.40,46.90,40.50,35.90,35.10,29.20,26.70,24.60,22.10,20.70,18.90",Chloroform-d,75.0,nmrshiftdb2:2436
nmrshiftdb_2259,C=C(C)C(=O)OC1CC(C)=CC(O)C(O)C(C)=CC2OC(=O)C(=C)C21,"169.10,165.10,143.20,135.90,135.50,135.00,131.10,126.30,125.80,121.50,83.10,74.40,74.20,71.00,52.20,43.50,19.70,17.90,13.00",Chloroform-d,100.0,nmrshiftdb2:2259
nmrshiftdb_2347,CC(=CC(=O)O)CCC1(C)C(C)CCC2(C)C(C)=CCCC21,"171.16,163.00,143.82,123.20,115.74,44.90,40.18,37.80,37.60,37.30,36.40,34.90,28.80,24.00,21.49,19.70,19.40,17.99,17.26,16.00",Chloroform-d,75.0,nmrshiftdb2:2347
nmrshiftdb_2193,C=C1C(=O)OC2C1CC(OC(=O)CC(C)(O)CC)C(C)=CCCC1(C)OC21,"172.00,169.00,137.90,132.60,128.10,122.00,81.50,81.00,71.00,65.90,61.30,44.40,44.00,36.00,35.90,34.60,26.20,23.80,17.30,11.70,8.30",Chloroform-d,50.0,nmrshiftdb2:2193
nmrshiftdb_2493,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,"192.20,181.40,162.70,162.00,153.15,137.00,133.60,133.45,124.50,122.95,119.40,118.70,115.85,115.10,63.80",DMSO-d6,100.62,nmrshiftdb2:2493
nmrshiftdb_2245,CC(=O)CN1CC=CCC(C(=O)OC(C)C)S1(=O)=O,"203.43,164.80,130.95,129.93,70.19,65.92,57.44,44.91,26.93,25.81,21.47,21.41",Chloroform-d,100.0,nmrshiftdb2:2245
